Names,Formula,CAS No,SMILES,Reference,Exp logp,C,H,N,O,S,P,F,Cl,Br,I,,,
formaldehyde,C1H2O1,000050-00-0,C=O,"hansch,c et al. (1995) ",0.35,1,2,0,1,0,0,0,0,0,0,,2,90
"9-fluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one",C22H29F1O5,000378-44-9,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,"hansch,c et al. (1995) ",1.94,22,29,0,5,0,0,1,0,0,0,,28,
"[2-(11,17-dihydroxy-10,13-dimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1h-cyclopenta[a]phenanthren-17-yl)-2-oxoethyl] acetate",C23H32O6,000050-03-3,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,"hansch,c et al. (1995) ",2.19,23,32,0,6,0,0,0,0,0,0,,29,
"[2-(17-hydroxy-10,13-dimethyl-3,11-dioxo-1,2,6,7,8,9,12,14,15,16-decahydrocyclopenta[a]phenanthren-17-yl)-2-oxoethyl] acetate",C23H30O6,000050-04-4,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC12C,"hansch,c et al. (1995) ",2.1,23,30,0,6,0,0,0,0,0,0,,29,
"5-ethyl-5-phenyl-1,3-diazinane-2,4,6-trione",C12H12N2O3,000050-06-6,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,"hansch,c et al. (1995) ",1.47,12,12,2,3,0,0,0,0,0,0,,17,
neuro_000014,C15H18N4O5,000050-07-7,COC12C(COC(N)=O)C3=C(N1CC4NC24)C(=O)C(=C(N)C3=O)C,"hansch,c et al. (1995) ",-0.4,15,18,4,5,0,0,0,0,0,0,,24,
"5,5-diethyl-1-methyl-1,3-diazinane-2,4,6-trione",C9H14N2O3,000050-11-3,CCC1(CC)C(=O)NC(=O)N(C)C1=O,"hansch,c et al. (1995) ",1.15,9,14,2,3,0,0,0,0,0,0,,14,
"5-ethyl-3-methyl-5-phenylimidazolidine-2,4-dione",C12H14N2O2,000050-12-4,CCC1(NC(=O)N(C)C1=O)c2ccccc2,sangster (1994) ,1.69,12,14,2,2,0,0,0,0,0,0,,16,
cyclophosphamide,C7H15Cl2N2O2P1,000050-18-0,ClCCN(CCCl)[P]1(=O)NCCCO1,"hansch,c et al. (1995) ",0.63,7,15,2,2,0,1,0,2,0,0,,14,
2-hydroxypropanoic acid,C3H6O3,000598-82-3,CC(O)C(O)=O,"hansch,c et al. (1995) ",-0.72,3,6,0,3,0,0,0,0,0,0,,6,
